,WSS,BSS
173,53158133.75306344,373999623160842.94
174,52672768.21343341,373999623646208.44
175,51937415.916521184,373999624364098.0
176,51765972.369091615,373999624489735.5
177,51264675.18471034,373999624994287.8
178,50644053.48911808,373999625614909.5
179,50098741.63224223,373999626161552.94
180,49605007.8146788,373999626633763.4
181,49293903.124920204,373999626944868.06
182,48923110.723672345,373999627309819.1
183,48461384.76495984,373999627779530.0
184,48149197.93599521,373999628091716.9
185,47517394.00078577,373999628713282.75
186,47026602.847364396,373999629203746.6
187,46721258.3859862,373999629511415.94
188,46202633.885986194,373999630030040.4
189,45852251.84836516,373999630374421.25
190,45389763.68328637,373999630836909.44
191,45103865.1832864,373999631122807.94
192,44695694.4676166,373999631520630.56
193,44337068.21078731,373999631879256.75
194,44031501.3925692,373999632181212.6
195,43796802.990639634,373999632416649.94
196,43481998.0785198,373999632730941.3
197,43188343.34105293,373999633047337.75
198,42894575.703183025,373999633330701.5
199,42502385.867014065,373999633722891.3
200,42147104.10236626,373999634061494.75
201,41836158.50191988,373999634372876.0
202,41482504.820993304,373999634726529.6
203,41180181.79439841,373999635017561.25
204,40891539.838762216,373999635312112.2
205,40460606.33876221,373999635743045.6
206,40083534.57855811,373999636120117.4
207,39886521.65345447,373999636313152.0
208,39524153.57363094,373999636667944.06
209,39170939.044671185,373999637021602.9
210,38962240.266283795,373999637236560.9
211,38778606.257190324,373999637415346.7
212,38597900.81136389,373999637600053.06
213,38477514.2854382,373999637724276.0
214,38330329.22370323,373999637869407.3
215,38177287.92854166,373999638010314.75
216,37977695.52510214,373999638208874.5
217,37747055.09490219,373999638459570.44
218,37441778.020449966,373999638759927.06
219,37218811.39544995,373999638982893.7
220,37041264.06211661,373999639160441.0
221,36863504.893227726,373999639338200.1
222,36341325.982053466,373999639860379.0
223,36182631.020224795,373999640030606.8
224,35945704.29424028,373999640267469.56
225,35714613.457256615,373999640504326.6
226,35591306.45371354,373999640627633.7
227,35369927.73748396,373999640844812.2
228,35275247.081021376,373999640939492.8
229,35132245.90893538,373999641082494.0
230,34903246.89363997,373999641309816.0
231,34732208.675252184,373999641479690.7
232,34532392.28476099,373999641657569.8
233,34432701.784761,373999641757260.25
234,34209375.57621326,373999641973737.6
235,33887425.21312021,373999642293582.7
236,33715981.58692097,373999642479843.4
237,33482733.06370083,373999642706464.6
238,33294938.462051656,373999642884015.1
239,33130513.39468821,373999643042699.6
240,32834806.709503025,373999643338406.3
241,32663346.26730298,373999643508038.5
242,32488659.50377663,373999643682725.3
243,32342635.326831453,373999643828749.5
244,32074965.985663738,373999644092185.75
245,31910036.322688498,373999644255521.7
246,31853823.799743123,373999644292533.4
247,31715211.36297558,373999644429134.0
248,31567341.51454833,373999644568018.2
249,31275786.003338583,373999644859573.7
250,31108104.960320674,373999645021747.0
251,30989902.850286983,373999645140973.0
252,30740772.31753261,373999645413498.56
253,30558566.887865923,373999645595704.0
254,30401612.38786593,373999645752658.44
255,30146653.67953259,373999646007617.2
256,29940941.912307397,373999646207391.56
257,29776179.949565835,373999646372661.0
258,29670151.43027757,373999646479570.0
259,29563890.43027757,373999646585831.0
260,29392337.187250588,373999646740367.0
261,29282766.687250584,373999646849937.5
262,29187912.16739406,373999646948445.5
263,29048397.0745392,373999647090329.4
264,28873435.537271913,373999647261164.06
265,28693380.15893982,373999647428553.4
266,28519700.719801243,373999647599806.1
267,28376317.204986434,373999647743189.6
268,28182880.691097535,373999647936626.2
269,28044164.335725635,373999648075342.5
270,27866690.769063365,373999648247126.75
271,27689199.559863336,373999648419141.94
272,27459011.121061254,373999648649330.4
273,27353420.612206798,373999648751996.6
274,27213395.65024183,373999648890510.0
275,27028773.705797385,373999649075131.94
276,26875608.747133203,373999649220850.7
277,26700625.85389249,373999649394946.6
278,26535270.353892487,373999649560302.1
279,26443078.729075603,373999649651803.44
280,26355002.47214429,373999649736363.2
281,26171799.755719915,373999649931771.75
282,26048471.537162546,373999650058516.25
283,25964426.999976262,373999650145477.1
284,25906096.279224712,373999650203807.9
285,25826726.279224716,373999650283177.8
286,25677979.87259855,373999650433389.6
287,25546820.528745264,373999650562518.7
288,25411646.6922466,373999650695348.44
289,25314581.69778603,373999650786622.1
290,25232523.197786033,373999650868680.6
291,25062409.211402535,373999651032914.7
292,24799756.646589156,373999651295567.3
293,24713039.58029306,373999651381807.25
294,24550310.113555327,373999651543057.56
295,24394132.177131195,373999651690704.56
296,24315245.708554536,373999651769959.0
297,24212568.580950372,373999651872636.1
298,24021332.1345181,373999652060222.7
299,23921922.074605163,373999652157287.1
300,23610897.45208419,373999652457561.56
301,23522355.44379168,373999652544516.06
302,23427771.47743294,373999652636079.5
303,23380019.408218067,373999652683831.56
304,23314000.783218063,373999652749850.2
305,23180479.91766621,373999652881340.2
306,23108526.484473463,373999652954167.2
307,23021175.98447346,373999653041517.7
308,22926339.395931788,373999653136354.25
309,22857218.770931795,373999653205474.94
310,22788261.491909113,373999653275231.3
311,22576407.294718776,373999653488326.25
312,22401145.77387635,373999653661920.0
313,22303447.889901895,373999653761296.4
314,22198176.022938825,373999653863038.75
315,22083983.902030926,373999653984373.06
316,21968538.511618063,373999654094586.4
317,21900156.280096125,373999654164974.5
318,21838897.78162028,373999654226233.0
319,21738732.30974757,373999654326115.6
320,21686723.668438263,373999654378124.25
321,21540096.4463179,373999654524751.5
322,21407813.849705357,373999654657034.1
323,21317817.64875224,373999654747923.1
324,21233667.897363346,373999654832072.9
325,21129731.63012217,373999654936009.1
326,21039434.796788834,373999655026306.0
327,20934724.296788838,373999655131016.5
328,20863482.074469954,373999655202332.9
329,20803318.07797159,373999655261084.5
330,20729155.903044272,373999655334989.6
331,20609515.766727395,373999655454629.75
332,20493871.370641574,373999655575567.6
